Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnote,Measure Start Date,Measure End Date,Location
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Rate of readmission after hip/knee surgery,READM_30_HIP_KNEE,No different than the National Rate,51,4.7,3.2,6.9,,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,No different than the National Rate,522,14.6,13.3,15.9,,07/01/2013,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,No different than the National Rate,156,15.8,13.1,18.8,,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Rate of unplanned readmission for stroke patients,READM_30_STK,No different than the National Rate,47,13.5,10.2,17.6,,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No different than the National Rate,26,14.0,10.4,18.5,,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Death rate for CABG,MORT_30_CABG,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No different than the National Rate,67,6.9,4.7,10.1,,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No different than the National Rate,131,10.4,7.7,13.8,,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No different than the National Rate,92,11.0,7.8,15.2,,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Death rate for stroke patients,MORT_30_STK,No different than the National Rate,32,15.0,11.6,19.6,,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Rate of unplanned readmission for CABG,READM_30_CABG,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,No different than the National Rate,74,19.8,16.1,23.7,,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,No different than the National Rate,159,23.9,19.8,28.2,,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Rate of readmission after hip/knee surgery,READM_30_HIP_KNEE,No different than the National Rate,43,4.6,3.1,7.0,,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,No different than the National Rate,603,14.7,13.5,16.1,,07/01/2013,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,No different than the National Rate,98,16.2,13.2,19.8,,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Rate of unplanned readmission for stroke patients,READM_30_STK,No different than the National Rate,31,12.1,8.9,15.8,,07/01/2011,06/30/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No different than the National Rate,127,13.9,11.1,17.1,,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Death rate for CABG,MORT_30_CABG,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No different than the National Rate,145,6.8,5.0,9.2,,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No different than the National Rate,186,10.0,7.7,13.0,,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,Better than the National Rate,192,7.5,5.6,9.7,,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Death rate for stroke patients,MORT_30_STK,Better than the National Rate,201,11.6,8.9,14.7,,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,No different than the National Rate,129,17.3,14.5,20.6,,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Rate of unplanned readmission for CABG,READM_30_CABG,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,No different than the National Rate,182,19.7,16.7,23.0,,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,No different than the National Rate,236,22.9,19.7,26.4,,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Rate of readmission after hip/knee surgery,READM_30_HIP_KNEE,No different than the National Rate,109,5.4,3.8,7.5,,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,No different than the National Rate,1779,15.4,14.5,16.4,,07/01/2013,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,No different than the National Rate,208,15.7,13.1,18.6,,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Rate of unplanned readmission for stroke patients,READM_30_STK,Worse than the National Rate,195,16.7,13.6,20.3,,07/01/2011,06/30/2014,"1720 E CESAR AVENUE
LOS ANGELES, CA 90033
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No different than the National Rate,312,13.5,11.2,16.2,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Death rate for CABG,MORT_30_CABG,No different than the National Rate,127,2.7,1.5,4.9,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No different than the National Rate,401,9.4,7.6,11.6,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No different than the National Rate,368,12.3,10.1,14.9,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,Better than the National Rate,477,7.7,6.1,9.7,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Death rate for stroke patients,MORT_30_STK,No different than the National Rate,584,12.6,10.5,14.9,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,No different than the National Rate,317,15.1,12.7,18.0,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Rate of unplanned readmission for CABG,READM_30_CABG,No different than the National Rate,123,13.6,10.5,17.5,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,No different than the National Rate,423,20.8,18.3,23.7,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,No different than the National Rate,415,20.1,17.1,23.3,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Rate of readmission after hip/knee surgery,READM_30_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,No different than the National Rate,5334,14.5,13.8,15.3,,07/01/2013,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,No different than the National Rate,514,16.3,14.2,18.7,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Rate of unplanned readmission for stroke patients,READM_30_STK,No different than the National Rate,586,11.8,9.9,14.1,,07/01/2011,06/30/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No different than the National Rate,302,15.6,12.9,18.9,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Death rate for CABG,MORT_30_CABG,No different than the National Rate,146,3.0,1.6,5.4,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No different than the National Rate,335,9.0,7.0,11.4,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,Worse than the National Rate,563,15.2,12.9,17.8,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,Worse than the National Rate,444,15.2,12.6,18.2,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Death rate for stroke patients,MORT_30_STK,Worse than the National Rate,377,19.7,16.7,23.1,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,No different than the National Rate,357,15.9,13.3,18.8,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Rate of unplanned readmission for CABG,READM_30_CABG,No different than the National Rate,143,14.2,11.1,17.9,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,No different than the National Rate,377,19.8,17.0,22.9,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,Better than the National Rate,650,18.4,16.0,20.9,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Rate of readmission after hip/knee surgery,READM_30_HIP_KNEE,No different than the National Rate,778,4.1,3.1,5.3,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,Better than the National Rate,4049,13.9,13.1,15.0,,07/01/2013,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,No different than the National Rate,487,15.2,13.0,17.6,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Rate of unplanned readmission for stroke patients,READM_30_STK,No different than the National Rate,353,11.3,9.1,13.9,,07/01/2011,06/30/2014,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA 96001
"
050309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No different than the National Rate,333,13.2,10.8,15.8,,07/01/2011,06/30/2014,"ONE MEDICAL PLAZA
ROSEVILLE, CA 95661
"
050309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,Death rate for CABG,MORT_30_CABG,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2011,06/30/2014,"ONE MEDICAL PLAZA
ROSEVILLE, CA 95661
"
050309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No different than the National Rate,488,7.7,6.2,9.6,,07/01/2011,06/30/2014,"ONE MEDICAL PLAZA
ROSEVILLE, CA 95661
"
050309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No different than the National Rate,404,12.1,9.9,14.7,,07/01/2011,06/30/2014,"ONE MEDICAL PLAZA
ROSEVILLE, CA 95661
"
